Time,ParameterName,ParameterValue
2022-12-01T14:00:00Z,WS_PT1H_MIN,NaN
2022-12-01T14:00:00Z,WD_PT1H_AVG,349.0
2022-12-01T14:00:00Z,PRA_PT1H_ACC,NaN
2022-12-01T14:00:00Z,PRI_PT1H_MAX,NaN
2022-12-01T14:00:00Z,PA_PT1H_AVG,1040.4
2022-12-01T14:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-01T15:00:00Z,TA_PT1H_AVG,-2.4
2022-12-01T15:00:00Z,TA_PT1H_MAX,-2.3
2022-12-01T15:00:00Z,TA_PT1H_MIN,-2.6
2022-12-01T15:00:00Z,RH_PT1H_AVG,96.0
2022-12-01T15:00:00Z,WS_PT1H_AVG,1.2
2022-12-01T15:00:00Z,WS_PT1H_MAX,1.9
2022-12-01T15:00:00Z,WS_PT1H_MIN,0.5
2022-12-01T15:00:00Z,WD_PT1H_AVG,341.0
2022-12-01T15:00:00Z,PRA_PT1H_ACC,NaN
2022-12-01T15:00:00Z,PRI_PT1H_MAX,NaN
2022-12-01T15:00:00Z,PA_PT1H_AVG,1040.5
2022-12-01T15:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-01T16:00:00Z,TA_PT1H_AVG,-2.7
2022-12-01T16:00:00Z,TA_PT1H_MAX,-2.6
2022-12-01T16:00:00Z,TA_PT1H_MIN,-3.0
2022-12-01T16:00:00Z,RH_PT1H_AVG,97.0
2022-12-01T16:00:00Z,WS_PT1H_AVG,1.1
2022-12-01T16:00:00Z,WS_PT1H_MAX,1.6
2022-12-01T16:00:00Z,WS_PT1H_MIN,0.6
2022-12-01T16:00:00Z,WD_PT1H_AVG,44.0
2022-12-01T16:00:00Z,PRA_PT1H_ACC,NaN
2022-12-01T16:00:00Z,PRI_PT1H_MAX,NaN
2022-12-01T16:00:00Z,PA_PT1H_AVG,1040.6
2022-12-01T16:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-01T17:00:00Z,TA_PT1H_AVG,-3.0
2022-12-01T17:00:00Z,TA_PT1H_MAX,-2.9
2022-12-01T17:00:00Z,TA_PT1H_MIN,-3.1
2022-12-01T17:00:00Z,RH_PT1H_AVG,99.0
2022-12-01T17:00:00Z,WS_PT1H_AVG,0.8
2022-12-01T17:00:00Z,WS_PT1H_MAX,1.5
2022-12-01T17:00:00Z,WS_PT1H_MIN,0.4
2022-12-01T17:00:00Z,WD_PT1H_AVG,35.0
2022-12-01T17:00:00Z,PRA_PT1H_ACC,NaN
2022-12-01T17:00:00Z,PRI_PT1H_MAX,NaN
2022-12-01T17:00:00Z,PA_PT1H_AVG,1040.5
2022-12-01T17:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-01T18:00:00Z,TA_PT1H_AVG,-3.1
2022-12-01T18:00:00Z,TA_PT1H_MAX,-3.0
2022-12-01T18:00:00Z,TA_PT1H_MIN,-3.2
2022-12-01T18:00:00Z,RH_PT1H_AVG,97.0
2022-12-01T18:00:00Z,WS_PT1H_AVG,1.6
2022-12-01T18:00:00Z,WS_PT1H_MAX,1.9
2022-12-01T18:00:00Z,WS_PT1H_MIN,0.4
2022-12-01T18:00:00Z,WD_PT1H_AVG,103.0
2022-12-01T18:00:00Z,PRA_PT1H_ACC,NaN
2022-12-01T18:00:00Z,PRI_PT1H_MAX,NaN
2022-12-01T18:00:00Z,PA_PT1H_AVG,1040.6
2022-12-01T18:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-01T19:00:00Z,TA_PT1H_AVG,-3.1
